train,stations
0,"[Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Amstel, Hilversum, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen]"
1,"[Castricum, Zaandam, Castricum, Zaandam, Castricum, Zaandam, Hoorn, Alkmaar, Castricum, Alkmaar, Castricum]"
2,"[Etten-Leur, Roosendaal, Etten-Leur, Breda, Tilburg, Breda, Tilburg, Eindhoven, Weert, Eindhoven, Helmond, Eindhoven, Helmond, Eindhoven]"
3,"[Roermond, Weert, Roermond, Weert, Roermond, Weert]"
4,"[Delft, Den Haag HS, Gouda, Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal, Gouda, Rotterdam Alexander, Gouda, Alphen a/d Rijn]"
5,"[Delft, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Delft, Schiedam Centrum, Delft]"
6,"[Amsterdam Zuid, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Almere Centrum, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Utrecht Centraal, Amersfoort]"
8,"[Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak, Dordrecht, Breda, Etten-Leur, Breda, Etten-Leur, Breda]"
9,"[Beverwijk, Zaandam, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout]"
10,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Laan v NOI, Delft, Den Haag Laan v NOI, Delft, Den Haag HS, Leiden Centraal, Alphen a/d Rijn, Gouda, Rotterdam Alexander, Rotterdam Blaak]"
11,"[Delft, Den Haag HS, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander]"
12,"[Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Dordrecht, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Schiphol Airport, Leiden Centraal, Schiphol Airport]"
13,"[Venlo, Helmond, Eindhoven, s-Hertogenbosch, Tilburg, Breda]"
14,"[Enschede, Hengelo, Almelo, Deventer, Almelo, Deventer, Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen]"
15,"[Oss, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal]"
score,4413.747126436781
connections missing,[['Alkmaar': 'Den Helder']: ['Almere Centrum': 'Lelystad Centrum']: ['Apeldoorn': 'Amersfoort']: ['Apeldoorn': 'Zutphen']: ['Assen': 'Zwolle']: ['Hilversum': 'Almere Centrum']: ['Leeuwarden': 'Heerenveen']: ['Roosendaal': 'Vlissingen']: ['Utrecht Centraal': 'Amsterdam Centraal']: ['Utrecht Centraal': 'Amsterdam Amstel']: ['Utrecht Centraal': 'Alphen a/d Rijn']: ['Zwolle': 'Amersfoort']: ['Zwolle': 'Almelo']]
